# GENERATED by backend/scripts/reconcile_twda.py — do not hand-edit.
# Human decisions belong in backend/src/data/twda_rulings.tsv, which
# is an input to this file.
#
# twda_id<TAB>action[<TAB>target]
#   attach:<tournament_uid>  we already hold this event
#   create<TAB><user_uid>    reconstruct it, won by that member
#   create                   reconstruct nothing: winner unresolved
#   review<TAB><uids>        UNDECIDED, with the candidates
#
# The consumer creates only `create` lines carrying a winner. Every
# other shape is logged and skipped, never guessed at.
10300	attach:019f1a19-ca01-70c4-be61-a78ab3a3eff9
10301	attach:019f1a19-ca70-7616-95e2-17989f589485
10303	attach:019f1a19-ca95-773e-8af5-0257298746f1
10305	attach:019f1a19-ca9b-703d-9208-fcb18e378150
10309	attach:019f1a19-caeb-72ae-891b-def9b63993e6
10310	attach:019f1a19-caf3-778d-81a5-a2098a0f3896
10312	attach:019f1a19-cb7d-7679-8615-e62debe475e1
10314	attach:019f1a19-cb9a-73c4-8ab2-09c39a197949
10316	attach:019f1a19-cbab-77bf-8155-ead79774efc4
10317	attach:019f1a19-cbbb-7312-a66e-a23ea6c3f14f
10319	attach:019f1a19-cbc7-701c-9dfe-e6a004ee05fa
10321	attach:019f1a19-ccb5-7329-9473-7ead97f1a9f7
10324	attach:019f1a19-cd80-715d-a606-fbce9861273f
10326	attach:019f1a19-cdc9-7070-a1e8-4b0cbb6ada30
10331	attach:019f1a19-cf70-7095-82d8-e564dd61f41c
10333	attach:019f1a19-cfab-70ef-8281-1862d8daea20
10335	attach:019f1a19-cfb8-72f6-ae4e-9e0ef485a309
10338	attach:019f1a19-cff4-77ad-b1d4-f622fe6992d9
10340	attach:019f1a19-d01f-7087-aa43-8cf7053a384a
10342	attach:019f1a19-d0a8-722e-93ff-419c10eb26cd
10343	attach:019f1a19-d0ae-7743-b532-60756eae486e
10346	attach:019f1a19-d0f4-7643-9e81-fb571c9ef8a4
10347	attach:019f1a19-d0fc-714c-8572-af018d7cb4af
10348	attach:019f1a19-d100-74f7-a80e-c97ef4ab7b11
10349	attach:019f1a19-d105-7537-82c5-e626f5674e9a
10350	create	019f1a00-4ecd-7244-a21b-2a15193be211
10352	attach:019f1a19-d1b6-77d9-8ebe-c5b525b094db
10353	attach:019f1a19-d1be-7520-870a-265f7516faef
10355	attach:019f1a19-d1ce-72f5-bfb9-d909ee19af00
10356	attach:019f1a19-d1f3-71bf-a63d-025c22f7908c
10357	attach:019f1a19-d21a-724e-aab7-c8b3128f20e3
10360	attach:019f1a19-d23c-7705-bf4a-4c1d5bb33451
